date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:40	36908/36908	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:40%20GMT	https://codingwithprajwal.com/user/auth	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/user/auth.html	(from https://codingwithprajwal.com/)
14:49:41	10530/10530	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2014:49:40%20GMT	https://codingwithprajwal.com/frontend/img/default.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/default.png	(from https://codingwithprajwal.com/)
14:49:41	43336/43336	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:10:30%20GMT	https://codingwithprajwal.com/frontend/img/bg-img/7.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/bg-img/7.jpg	(from https://codingwithprajwal.com/)
14:49:42	60018/60018	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:41%20GMT	https://codingwithprajwal.com/product-category/kids-collection	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-category/kids-collection.html	(from https://codingwithprajwal.com/)
14:49:42	54004/54004	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Aug%202021%2004:00:44%20GMT	https://codingwithprajwal.com/frontend/img/category/cata-3.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/category/cata-3.jpg	(from https://codingwithprajwal.com/)
14:49:42	60038/60038	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:42%20GMT	https://codingwithprajwal.com/product-category/women-collection	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-category/women-collection.html	(from https://codingwithprajwal.com/)
14:49:43	45548/45548	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Aug%202021%2004:00:52%20GMT	https://codingwithprajwal.com/frontend/img/category/cata-2.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/category/cata-2.jpg	(from https://codingwithprajwal.com/)
14:49:43	74690/74690	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:43%20GMT	https://codingwithprajwal.com/product-category/craft-collection	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-category/craft-collection.html	(from https://codingwithprajwal.com/)
14:49:43	23014/23014	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Aug%202021%2004:01:04%20GMT	https://codingwithprajwal.com/frontend/img/category/cata-1.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/category/cata-1.jpg	(from https://codingwithprajwal.com/)
14:49:44	107028/107028	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:36:06%20GMT	https://codingwithprajwal.com/frontend/img/product-img/new-8.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/product-img/new-8.png	(from https://codingwithprajwal.com/)
14:49:44	54860/54860	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:44%20GMT	https://codingwithprajwal.com/product-detail/top-s-short	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-detail/top-s-short.html	(from https://codingwithprajwal.com/)
14:49:44	4663/4663	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2009:19:44%20GMT	https://codingwithprajwal.com/compare.html	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/compare-2.html	(from https://codingwithprajwal.com/)
14:49:45	92184/92184	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:35:58%20GMT	https://codingwithprajwal.com/frontend/img/product-img/new-7.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/product-img/new-7.png	(from https://codingwithprajwal.com/)
14:49:45	54202/54202	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:45%20GMT	https://codingwithprajwal.com/product-detail/fashion-dress	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-detail/fashion-dress.html	(from https://codingwithprajwal.com/)
14:49:46	40529/40529	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:35:18%20GMT	https://codingwithprajwal.com/frontend/img/product-img/new-4.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/product-img/new-4.png	(from https://codingwithprajwal.com/)
14:49:46	59936/59936	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:46%20GMT	https://codingwithprajwal.com/product-detail/silk-dress	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-detail/silk-dress.html	(from https://codingwithprajwal.com/)
14:49:46	62379/62379	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:33:04%20GMT	https://codingwithprajwal.com/frontend/img/product-img/new-2.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/product-img/new-2.png	(from https://codingwithprajwal.com/)
14:49:47	59936/59936	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:46%20GMT	https://codingwithprajwal.com/product-detail/flower-textured-dress	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-detail/flower-textured-dress.html	(from https://codingwithprajwal.com/)
14:49:47	42705/42705	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:37:06%20GMT	https://codingwithprajwal.com/frontend/img/product-img/new-1-back.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/product-img/new-1-back.png	(from https://codingwithprajwal.com/)
14:49:47	59946/59946	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2009:19:47%20GMT	https://codingwithprajwal.com/product-detail/boutique-silk-dress	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/product-detail/boutique-silk-dress.html	(from https://codingwithprajwal.com/)
14:49:48	27013/27013	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:14%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/1.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/1.jpg	(from https://codingwithprajwal.com/)
14:49:48	19367/19367	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:24%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/4.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/4.jpg	(from https://codingwithprajwal.com/)
14:49:48	13430/13430	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:20%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/3.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/3.jpg	(from https://codingwithprajwal.com/)
14:49:48	12043/12043	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:18%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/2.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/2.jpg	(from https://codingwithprajwal.com/)
14:49:48	4252/4252	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:30%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/6.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/6.jpg	(from https://codingwithprajwal.com/)
14:49:49	19722/19722	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2008:41:28%20GMT	https://codingwithprajwal.com/frontend/img/partner-img/5.jpg	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/partner-img/5.jpg	(from https://codingwithprajwal.com/)
